"Path","Platform","Compiled","Cooked","Permutations","Compiletime","CompiledDouble","CookedDouble"
"Globals","0","4628","0","1","0.000000","0","0"
"/ControlRig/Controls/ControlRigGizmoMaterial.ControlRigGizmoMaterial","0","4","1","1","2.983151","0","13"
"/Engine/EngineDebugMaterials/DebugEditorMaterial.DebugEditorMaterial","0","6","1","1","4.205450","0","26"
"/Engine/VREditor/TransformGizmo/Main.Main","0","5","1","1","3.941000","0","17"
"/Engine/VREditor/TransformGizmo/TranslucentTransformGizmoMaterial.TranslucentTransformGizmoMaterial","0","5","5","1","3.837950","0","8"
"/Engine/EngineMaterials/Widget3DPassThrough.Widget3DPassThrough","0","54","23","6","48.900162","5","215"
"/MeshModelingToolset/Materials/M_DynamicMeshComponentVtxColor.M_DynamicMeshComponentVtxColor","0","17","6","1","16.964369","0","108"
"/Engine/EditorMaterials/PhAT_UnselectedMaterial.PhAT_UnselectedMaterial","0","5","1","1","3.806509","0","19"
"/Engine/EditorMaterials/PhAT_NoCollisionMaterial.PhAT_NoCollisionMaterial","0","5","5","1","3.816014","0","8"
"/Game/Characters/Mannequins/Materials/M_Mannequin.M_Mannequin","0","60","10","2","94.519577","0","309"
"/Engine/EngineMaterials/GizmoMaterial.GizmoMaterial","0","6","2","1","4.423381","0","17"
"/Interchange/gltf/M_Opaque.M_Opaque","0","224","34","8","227.088974","0","1851"
"/Engine/EngineMaterials/RemoveSurfaceMaterial.RemoveSurfaceMaterial","0","4","4","1","2.560285","0","6"
"/ControlRig/Controls/ControlRigXRayMaterial.ControlRigXRayMaterial","0","9","2","1","5.343433","0","37"
"/Engine/EngineDebugMaterials/DebugMeshMaterial.DebugMeshMaterial","0","7","2","1","5.301544","0","19"
"/Engine/EditorLandscapeResources/SplineEditorMeshMat.SplineEditorMeshMat","0","12","1","1","9.634606","0","53"
"/Engine/EngineDebugMaterials/M_SimpleUnlitTranslucent.M_SimpleUnlitTranslucent","0","5","1","1","4.109820","0","17"
"/Engine/VREditor/TransformGizmo/Xray.Xray","0","14","2","1","13.006815","0","49"
"/Interchange/gltf/M_Translucent.M_Translucent","0","200","16","8","2117.219727","0","1256"
"/Engine/EditorMaterials/Camera/CineMat.CineMat","0","28","2","1","34.246685","0","241"
"/Interchange/gltf/M_Sheen.M_Sheen","0","112","8","4","134.529785","0","956"
"/Interchange/gltf/M_Transmission.M_Transmission","0","108","12","4","1196.130249","0","545"
"/Interchange/gltf/M_Unlit.M_Unlit","0","32","6","2","24.457006","0","168"
"/Engine/EngineMaterials/DefaultLightFunctionMaterial.DefaultLightFunctionMaterial","0","145","8","1","187.651611","0","3275"
"/Interchange/Materials/ClearCoatMaterial.ClearCoatMaterial","0","14","2","1","20.893818","0","80"
"/Interchange/Materials/SheenMaterial.SheenMaterial","0","14","9","1","19.142149","0","49"
"/Interchange/Materials/SubsurfaceMaterial.SubsurfaceMaterial","0","14","2","1","19.637753","0","56"
"/Interchange/Materials/PBRSurfaceMaterial.PBRSurfaceMaterial","0","14","1","1","18.266092","0","50"
"/Game/Objects/car/07_-_Default.07_-_Default","0","14","6","1","17.507313","0","86"
"/Engine/BasicShapes/BasicShapeMaterial.BasicShapeMaterial","0","69","3","1","100.948395","0","1028"
"/Interchange/Materials/OrenNayerMaterial.OrenNayerMaterial","0","15","6","1","28.081425","0","61"
"/Interchange/Materials/LambertSurfaceMaterial.LambertSurfaceMaterial","0","14","1","1","20.019279","0","55"
"/Game/Objects/FOrk/Material__35.Material__35","0","14","5","1","19.232973","0","47"
"/Interchange/Materials/ThinTranslucentMaterial.ThinTranslucentMaterial","0","24","1","1","223.244812","0","118"
"/Interchange/Materials/UnlitMaterial.UnlitMaterial","0","4","1","1","3.470912","0","13"
"/Game/Objects/gum/Material__35.Material__35","0","14","2","1","16.824137","0","36"
"/Game/Objects/koala/Material__68.Material__68","0","14","2","1","19.718311","0","52"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeBillboardMaster.SpeedTreeBillboardMaster","0","56","7","1","88.900337","0","623"
"/Game/Objects/Piggie/09_-_Default.09_-_Default","0","14","5","1","14.249537","0","69"
"/Paper2D/DefaultSpriteMaterial.DefaultSpriteMaterial","0","44","16","2","32.569962","0","211"
"/Game/Objects/koala/texturedMesh_TextureAtlas_1004.texturedMesh_TextureAtlas_1004","0","14","3","1","14.110723","0","56"
"/Game/Objects/Squid/08_-_Default.08_-_Default","0","14","1","1","13.661649","0","58"
"/Game/Objects/koala/texturedMesh_TextureAtlas_1003.texturedMesh_TextureAtlas_1003","0","14","4","1","12.993176","0","83"
"/SpeedTreeImporter/SpeedTree9/SpeedTreeMaster.SpeedTreeMaster","0","82","1","1","129.702148","0","1139"
"/Engine/EngineMaterials/FlattenMaterial_WS_Normal_VT.FlattenMaterial_WS_Normal_VT","0","37","5","1","43.115826","0","292"
"/Game/Objects/koala/texturedMesh_TextureAtlas_1001.texturedMesh_TextureAtlas_1001","0","14","4","1","16.348608","0","83"
"/Game/Objects/car/texturedMesh_TextureAtlas_1003.texturedMesh_TextureAtlas_1003","0","14","1","1","14.770853","0","67"
"/Game/Objects/Piggie/texturedMesh_TextureAtlas_1003.texturedMesh_TextureAtlas_1003","0","14","1","1","0.000000","0","67"
"/Game/Objects/Piggie/texturedMesh_TextureAtlas_1002.texturedMesh_TextureAtlas_1002","0","14","1","1","15.099745","0","62"
"/Game/Objects/Cat/texturedMesh_TextureAtlas_1001.texturedMesh_TextureAtlas_1001","0","14","2","1","15.864915","0","56"
"/Game/Objects/Piggie/texturedMesh_TextureAtlas_1001.texturedMesh_TextureAtlas_1001","0","14","2","1","0.000000","0","56"
"/Game/Objects/gum/texturedMesh_TextureAtlas_1003.texturedMesh_TextureAtlas_1003","0","14","1","1","0.000000","0","67"
"/Game/Objects/gum/texturedMesh_TextureAtlas_1002.texturedMesh_TextureAtlas_1002","0","14","1","1","0.000000","0","62"
"/Game/Objects/FOrk/texturedMesh_TextureAtlas_1002.texturedMesh_TextureAtlas_1002","0","14","1","1","0.000000","0","62"
"/Game/Objects/Nugget/texturedMesh_TextureAtlas_1002.texturedMesh_TextureAtlas_1002","0","14","1","1","0.000000","0","62"
"/Game/Objects/Squid/texturedMesh_TextureAtlas_1001.texturedMesh_TextureAtlas_1001","0","14","2","1","0.000000","0","56"
"/Game/Objects/car/texturedMesh_TextureAtlas_1002.texturedMesh_TextureAtlas_1002","0","14","1","1","0.000000","0","62"
"/Game/Objects/Bottles/texturedMesh_TextureAtlas_1001.texturedMesh_TextureAtlas_1001","0","14","2","1","0.000000","0","56"
"/Game/Objects/Bottles/texturedMesh_TextureAtlas_1002.texturedMesh_TextureAtlas_1002","0","14","1","1","0.000000","0","62"
"/Game/Objects/koala/texturedMesh_TextureAtlas_1002.texturedMesh_TextureAtlas_1002","0","14","1","1","16.132763","0","65"
"/Game/Objects/car/texturedMesh_TextureAtlas_1001.texturedMesh_TextureAtlas_1001","0","14","2","1","0.000000","0","56"
"/Game/Objects/FOrk/texturedMesh_TextureAtlas_1001.texturedMesh_TextureAtlas_1001","0","14","2","1","0.000000","0","56"
"/Game/Objects/gum/texturedMesh_TextureAtlas_1001.texturedMesh_TextureAtlas_1001","0","14","2","1","0.000000","0","56"
"/Game/Objects/Nugget/texturedMesh_TextureAtlas_1001.texturedMesh_TextureAtlas_1001","0","14","2","1","0.000000","0","56"
"/Game/Materials/Classroom/1215a5046dacdee0963321215993a49c_Mat.1215a5046dacdee0963321215993a49c_Mat","0","14","4","1","16.349440","0","67"
"/Game/Objects/Squid/texturedMesh_TextureAtlas_1002.texturedMesh_TextureAtlas_1002","0","14","1","1","0.000000","0","62"
"/Game/Objects/Squid/texturedMesh_TextureAtlas_1003.texturedMesh_TextureAtlas_1003","0","14","1","1","0.000000","0","67"
"/Interchange/Materials/PhongSurfaceMaterial.PhongSurfaceMaterial","0","14","6","1","15.215252","0","51"
"/Game/Materials/Classroom/1e4aa323114471fdef8a3fa07da7c730_Mat.1e4aa323114471fdef8a3fa07da7c730_Mat","0","14","7","1","14.281120","0","40"
"/Engine/EngineMaterials/FlattenMaterial_VT.FlattenMaterial_VT","0","37","3","1","36.036320","0","193"
"/Engine/EngineMaterials/PPM_DefaultCalibrationGrayscale.PPM_DefaultCalibrationGrayscale","0","6","6","1","3.063848","0","10"
"/Game/Materials/Classroom/istockphoto-182757166-170667a_Mat.istockphoto-182757166-170667a_Mat","0","28","5","1","17.839731","0","171"
"/Engine/EngineMaterials/PPM_DefaultCalibrationColor.PPM_DefaultCalibrationColor","0","6","6","1","2.896954","0","6"
"/Engine/EditorMaterials/PreviewShadowIndicatorMaterial.PreviewShadowIndicatorMaterial","0","145","8","1","174.563156","0","2417"
"/Engine/EngineMaterials/DefaultTextMaterialOpaque.DefaultTextMaterialOpaque","0","28","7","1","25.222937","0","121"
"/Engine/EngineMaterials/FlattenMaterial.FlattenMaterial","0","37","6","1","48.111950","0","217"
